Time,Distance
2023-04-20 06:17:26.230182,-1.29524
2023-04-20 06:17:26.231182,-1.22051
2023-04-20 06:17:26.232182,-1.14579
2023-04-20 06:17:26.233182,-1.06795
2023-04-20 06:17:26.234182,-0.99322
2023-04-20 06:17:26.235182,-0.90916
2023-04-20 06:17:26.236182,-0.83132
2023-04-20 06:17:26.237182,-0.74725
2023-04-20 06:17:26.238182,-0.66941
2023-04-20 06:17:26.239182,-0.58223
2023-04-20 06:17:26.240182,-0.5044
2023-04-20 06:17:26.241182,-0.41099
2023-04-20 06:17:26.242182,-0.32381
2023-04-20 06:17:26.243182,-0.23352
2023-04-20 06:17:26.244182,-0.14322
2023-04-20 06:17:26.245182,-0.05293
2023-04-20 06:17:26.246182,0.04048
2023-04-20 06:17:26.247182,0.13388
2023-04-20 06:17:26.248182,0.2304
2023-04-20 06:17:26.249182,0.32381
2023-04-20 06:17:26.250182,0.42033
2023-04-20 06:17:26.251182,0.51374
2023-04-20 06:17:26.252182,0.60714
2023-04-20 06:17:26.253182,0.69744
2023-04-20 06:17:26.254182,0.78773
2023-04-20 06:17:26.255182,0.87802
2023-04-20 06:17:26.256182,0.96832
2023-04-20 06:17:26.257182,1.05549
2023-04-20 06:17:26.258182,1.14579
2023-04-20 06:17:26.259182,1.22985
2023-04-20 06:17:26.260182,1.31392
2023-04-20 06:17:26.261182,1.39487
2023-04-20 06:17:26.262182,1.47894
2023-04-20 06:17:26.263182,1.55989
2023-04-20 06:17:26.264182,1.64084
2023-04-20 06:17:26.265182,1.72179
2023-04-20 06:17:26.266182,1.80586
2023-04-20 06:17:26.267182,1.8837
2023-04-20 06:17:26.268182,1.96465
2023-04-20 06:17:26.269182,2.0456
2023-04-20 06:17:26.270182,2.12344
2023-04-20 06:17:26.271182,2.19817
2023-04-20 06:17:26.272182,2.27289
2023-04-20 06:17:26.273182,2.35073
2023-04-20 06:17:26.274182,2.42234
2023-04-20 06:17:26.275182,2.49396
2023-04-20 06:17:26.276182,2.56245
2023-04-20 06:17:26.277182,2.63095
2023-04-20 06:17:26.278182,2.69634
2023-04-20 06:17:26.279182,2.76484
2023-04-20 06:17:26.280182,2.82711
2023-04-20 06:17:26.281182,2.88938
2023-04-20 06:17:26.282182,2.94853
2023-04-20 06:17:26.283182,3.00147
2023-04-20 06:17:26.284182,3.0544
2023-04-20 06:17:26.285182,3.10421
2023-04-20 06:17:26.286182,3.15403
2023-04-20 06:17:26.287182,3.19762
2023-04-20 06:17:26.288182,3.2381
2023-04-20 06:17:26.289182,3.27546
2023-04-20 06:17:26.290182,3.30971
2023-04-20 06:17:26.291182,3.34396
2023-04-20 06:17:26.292182,3.37198
2023-04-20 06:17:26.293182,3.4
2023-04-20 06:17:26.294182,3.42179
2023-04-20 06:17:26.295182,3.44048
2023-04-20 06:17:26.296182,3.45916
2023-04-20 06:17:26.297182,3.47161
