Controller name: ILD1420, Controller serial number: 18040260, Controller option: 000, Controller article number: 4120216, Measurement range: 200.000 mm, Measurement rate: 1.000 kHz, Controller software version: 001.028, Controller hardware revision: 01, Boot loader version: 001.006, CableHead: : Wire, User level: 1, Default user: 1, Echo: 0, Display unit: 0: mm, Trigger mode: 0: none, Trigger moment: 0: input, Trigger count: 1, Multi function input mode: 0: none, Multi function input level: 0: high, Laser power: 0: full, Region of interest start: 0, Region of interest end: 511, Average type: 3: median, Median average count: 9, Master value set: 0: off, Data out interface: 0: Web diagram, Resampling count: 1, Resampling RS422 output: 0: off, Resampling analog output: 0: off, Hold last valid value: -1: show all error values, Error output1: 1: on, Error level output1: 0 NPN, Key function: 2: Teach, Analog scale mode: 0: standard, Current settings names: 1000Hz, Available settings names: 1000Hz, 1000 Hz, Preset names: Standard, Distance1 RS422 output: 1: on, Shutter time RS422 output: 0: off, Measurement value counter RS422 output: 0: off, Timestamp high word RS422 output: 0: off, Timestamp low word RS422 output: 0: off, Intensity RS422 output: 0: off, State RS422 output: 0: off, Distance uncalibrated RS422 output: 0: off, 
DAQ-Start-Time:, 2023-04-12 09:53:34.961, 
Snapshot Time Stamp, Distance [mm]
2023-04-12 09:54:26.963403,   19.42436
2023-04-12 09:54:26.964403,   19.41190
2023-04-12 09:54:26.965403,   19.40256
2023-04-12 09:54:26.966403,   19.40256
2023-04-12 09:54:26.967403,   19.40256
2023-04-12 09:54:26.968403,   19.40256
2023-04-12 09:54:26.969403,   19.40256
2023-04-12 09:54:26.970403,   19.40256
2023-04-12 09:54:26.971403,   19.41190
2023-04-12 09:54:26.972403,   19.42436
2023-04-12 09:54:26.973403,   19.43993
2023-04-12 09:54:26.974403,   19.45861
2023-04-12 09:54:26.975403,   19.48040
2023-04-12 09:54:26.976403,   19.50531
2023-04-12 09:54:26.977403,   19.53022
2023-04-12 09:54:26.978403,   19.55824
2023-04-12 09:54:26.979403,   19.58938
2023-04-12 09:54:26.980403,   19.62051
2023-04-12 09:54:26.981403,   19.65476
2023-04-12 09:54:26.982403,   19.68590
2023-04-12 09:54:26.983403,   19.72015
2023-04-12 09:54:26.984403,   19.75440
2023-04-12 09:54:26.985403,   19.78864
2023-04-12 09:54:26.986403,   19.82289
2023-04-12 09:54:26.987403,   19.85403
2023-04-12 09:54:26.988403,   19.88828
2023-04-12 09:54:26.989403,   19.91941
2023-04-12 09:54:26.990403,   19.94744
2023-04-12 09:54:26.991403,   19.97546
2023-04-12 09:54:26.992403,   20.00348
2023-04-12 09:54:26.993403,   20.02839
2023-04-12 09:54:26.994403,   20.05018
2023-04-12 09:54:26.995403,   20.06886
2023-04-12 09:54:26.996403,   20.08443
2023-04-12 09:54:26.997403,   20.09689
2023-04-12 09:54:26.998403,   20.10934
2023-04-12 09:54:26.999403,   20.11557
2023-04-12 09:54:27.000403,   20.11557
2023-04-12 09:54:27.001403,   20.11557
2023-04-12 09:54:27.002403,   20.11557
2023-04-12 09:54:27.003403,   20.11557
2023-04-12 09:54:27.004403,   20.10623
2023-04-12 09:54:27.005403,   20.09689
2023-04-12 09:54:27.006403,   20.08132
2023-04-12 09:54:27.007403,   20.06264
2023-04-12 09:54:27.008403,   20.04396
2023-04-12 09:54:27.009403,   20.02216
2023-04-12 09:54:27.010403,   19.99725
2023-04-12 09:54:27.011403,   19.96923
2023-04-12 09:54:27.012403,   19.93810
2023-04-12 09:54:27.013403,   19.90696
2023-04-12 09:54:27.014403,   19.87582
2023-04-12 09:54:27.015403,   19.84469
2023-04-12 09:54:27.016403,   19.81044
2023-04-12 09:54:27.017403,   19.77619
2023-04-12 09:54:27.018403,   19.74194
2023-04-12 09:54:27.019403,   19.70769
2023-04-12 09:54:27.020403,   19.67344
2023-04-12 09:54:27.021403,   19.63919
2023-04-12 09:54:27.022403,   19.60806
2023-04-12 09:54:27.023403,   19.57692
2023-04-12 09:54:27.024403,   19.54579
2023-04-12 09:54:27.025403,   19.52088
2023-04-12 09:54:27.026403,   19.49286
2023-04-12 09:54:27.027403,   19.47106
2023-04-12 09:54:27.028403,   19.45238
2023-04-12 09:54:27.029403,   19.43370
2023-04-12 09:54:27.030403,   19.42125
2023-04-12 09:54:27.031403,   19.40879
2023-04-12 09:54:27.032403,   19.39945
2023-04-12 09:54:27.033403,   19.39945
2023-04-12 09:54:27.034403,   19.39945
2023-04-12 09:54:27.035403,   19.39945
2023-04-12 09:54:27.036403,   19.39945
2023-04-12 09:54:27.037403,   19.40568
2023-04-12 09:54:27.038403,   19.41502
2023-04-12 09:54:27.039403,   19.43059
2023-04-12 09:54:27.040403,   19.44615
2023-04-12 09:54:27.041403,   19.46484
2023-04-12 09:54:27.042403,   19.48663
2023-04-12 09:54:27.043403,   19.51154
2023-04-12 09:54:27.044403,   19.53956
2023-04-12 09:54:27.045403,   19.56758
2023-04-12 09:54:27.046403,   19.59872
2023-04-12 09:54:27.047403,   19.63297
2023-04-12 09:54:27.048403,   19.66410
2023-04-12 09:54:27.049403,   19.69835
2023-04-12 09:54:27.050403,   19.73260
2023-04-12 09:54:27.051403,   19.76374
2023-04-12 09:54:27.052403,   19.80110
