# Data acquisition time,Epoch time (ms),Distance
2023-04-20 06:13:08.220182,1681938788220.18,-6.68168
2023-04-20 06:13:08.221182,1681938788221.18,-6.73773
2023-04-20 06:13:08.222182,1681938788222.18,-6.79066
2023-04-20 06:13:08.223182,1681938788223.18,-6.84048
2023-04-20 06:13:08.224182,1681938788224.18,-6.89341
2023-04-20 06:13:08.225182,1681938788225.18,-6.94011
2023-04-20 06:13:08.226182,1681938788226.18,-6.98993
2023-04-20 06:13:08.227182,1681938788227.18,-7.03352
2023-04-20 06:13:08.228182,1681938788228.18,-7.08022
2023-04-20 06:13:08.229182,1681938788229.18,-7.12381
2023-04-20 06:13:08.230182,1681938788230.18,-7.16429
2023-04-20 06:13:08.231182,1681938788231.18,-7.20788
2023-04-20 06:13:08.232182,1681938788232.18,-7.24835
2023-04-20 06:13:08.233182,1681938788233.18,-7.28571
2023-04-20 06:13:08.234182,1681938788234.18,-7.32619
2023-04-20 06:13:08.235182,1681938788235.18,-7.36044
2023-04-20 06:13:08.236182,1681938788236.18,-7.3978
2023-04-20 06:13:08.237182,1681938788237.18,-7.42894
2023-04-20 06:13:08.238182,1681938788238.18,-7.46319
2023-04-20 06:13:08.239182,1681938788239.18,-7.49432
2023-04-20 06:13:08.240182,1681938788240.18,-7.52234
2023-04-20 06:13:08.241182,1681938788241.18,-7.55348
2023-04-20 06:13:08.242182,1681938788242.18,-7.57839
2023-04-20 06:13:08.243182,1681938788243.18,-7.60641
2023-04-20 06:13:08.244182,1681938788244.18,-7.63132
2023-04-20 06:13:08.245182,1681938788245.18,-7.65
2023-04-20 06:13:08.246182,1681938788246.18,-7.67491
2023-04-20 06:13:08.247182,1681938788247.18,-7.69359
2023-04-20 06:13:08.248182,1681938788248.18,-7.71227
2023-04-20 06:13:08.249182,1681938788249.18,-7.72784
2023-04-20 06:13:08.250182,1681938788250.18,-7.74652
2023-04-20 06:13:08.251182,1681938788251.18,-7.76209
2023-04-20 06:13:08.252182,1681938788252.18,-7.77454
2023-04-20 06:13:08.253182,1681938788253.18,-7.787
2023-04-20 06:13:08.254182,1681938788254.18,-7.79634
2023-04-20 06:13:08.255182,1681938788255.18,-7.80568
2023-04-20 06:13:08.256182,1681938788256.18,-7.81502
2023-04-20 06:13:08.257182,1681938788257.18,-7.82125
2023-04-20 06:13:08.258182,1681938788258.18,-7.82436
2023-04-20 06:13:08.259182,1681938788259.18,-7.83059
2023-04-20 06:13:08.260182,1681938788260.18,-7.83059
2023-04-20 06:13:08.261182,1681938788261.18,-7.83059
2023-04-20 06:13:08.262182,1681938788262.18,-7.83059
2023-04-20 06:13:08.263182,1681938788263.18,-7.83059
2023-04-20 06:13:08.264182,1681938788264.18,-7.82747
2023-04-20 06:13:08.265182,1681938788265.18,-7.82436
2023-04-20 06:13:08.266182,1681938788266.18,-7.81813
2023-04-20 06:13:08.267182,1681938788267.18,-7.8119
2023-04-20 06:13:08.268182,1681938788268.18,-7.80568
2023-04-20 06:13:08.269182,1681938788269.18,-7.79322
2023-04-20 06:13:08.270182,1681938788270.18,-7.78388
2023-04-20 06:13:08.271182,1681938788271.18,-7.77143
2023-04-20 06:13:08.272182,1681938788272.18,-7.75897
2023-04-20 06:13:08.273182,1681938788273.18,-7.74341
2023-04-20 06:13:08.274182,1681938788274.18,-7.72784
2023-04-20 06:13:08.275182,1681938788275.18,-7.70916
2023-04-20 06:13:08.276182,1681938788276.18,-7.69359
2023-04-20 06:13:08.277182,1681938788277.18,-7.67179
2023-04-20 06:13:08.278182,1681938788278.18,-7.65
2023-04-20 06:13:08.279182,1681938788279.18,-7.62821
2023-04-20 06:13:08.280182,1681938788280.18,-7.6033
2023-04-20 06:13:08.281182,1681938788281.18,-7.57839
2023-04-20 06:13:08.282182,1681938788282.18,-7.55348
2023-04-20 06:13:08.283182,1681938788283.18,-7.52234
2023-04-20 06:13:08.284182,1681938788284.18,-7.49432
2023-04-20 06:13:08.285182,1681938788285.18,-7.46319
2023-04-20 06:13:08.286182,1681938788286.18,-7.43205
2023-04-20 06:13:08.287182,1681938788287.18,-7.3978
2023-04-20 06:13:08.288182,1681938788288.18,-7.36355
2023-04-20 06:13:08.289182,1681938788289.18,-7.32619
2023-04-20 06:13:08.290182,1681938788290.18,-7.28883
2023-04-20 06:13:08.291182,1681938788291.18,-7.24835
2023-04-20 06:13:08.292182,1681938788292.18,-7.20788
2023-04-20 06:13:08.293182,1681938788293.18,-7.1674
2023-04-20 06:13:08.294182,1681938788294.18,-7.12381
2023-04-20 06:13:08.295182,1681938788295.18,-7.08022
2023-04-20 06:13:08.296182,1681938788296.18,-7.03663
2023-04-20 06:13:08.297182,1681938788297.18,-6.98993
2023-04-20 06:13:08.298182,1681938788298.18,-6.94322
2023-04-20 06:13:08.299182,1681938788299.18,-6.89652
2023-04-20 06:13:08.300182,1681938788300.18,-6.8467
2023-04-20 06:13:08.301182,1681938788301.18,-6.79689
2023-04-20 06:13:08.302182,1681938788302.18,-6.74707
2023-04-20 06:13:08.303182,1681938788303.18,-6.69103
2023-04-20 06:13:08.304182,1681938788304.18,-6.63498
2023-04-20 06:13:08.305182,1681938788305.18,-6.57894
2023-04-20 06:13:08.306182,1681938788306.18,-6.51978
2023-04-20 06:13:08.307182,1681938788307.18,-6.46374
2023-04-20 06:13:08.308182,1681938788308.18,-6.40458
2023-04-20 06:13:08.309182,1681938788309.18,-6.34231
2023-04-20 06:13:08.310182,1681938788310.18,-6.27692
2023-04-20 06:13:08.311182,1681938788311.18,-6.21154
