time, id, x, y, z, qx, qy, qz, qw, image_error, object_error, fiducial_area
1717086195.200612632, 0, 0.12346, -0.0312885, 0.941224, 0.996093, -0.0329887, 0.0725569, 0.0380267, 0.00013034, 0.000165403, 0
1717086195.217606253, 0, 0.12346, -0.0312885, 0.941224, 0.996093, -0.0329887, 0.0725569, 0.0380267, 0.00013034, 0.000165403, 0
1717086195.233857841, 0, 0.133326, -0.0279726, 0.939435, 0.995745, -0.0410268, 0.0717529, 0.0407497, 0.000178505, 0.000226483, 0
1717086195.250553819, 0, 0.133326, -0.0279726, 0.939435, 0.995745, -0.0410268, 0.0717529, 0.0407497, 0.000178505, 0.000226483, 0
1717086195.267235463, 0, 0.128394, -0.0352831, 0.939855, 0.995996, -0.0371416, 0.0726809, 0.0364807, 7.97474e-06, 1.01167e-05, 0
1717086195.284310305, 0, 0.128394, -0.0352831, 0.939855, 0.995996, -0.0371416, 0.0726809, 0.0364807, 7.97474e-06, 1.01167e-05, 0
1717086195.300532360, 0, 0.133008, -0.0367067, 0.938973, 0.995823, -0.0410093, 0.0730587, 0.0362915, 0.000295017, 0.000374159, 0
1717086195.317443508, 0, 0.133008, -0.0367067, 0.938973, 0.995823, -0.0410093, 0.0730587, 0.0362915, 0.000295017, 0.000374159, 0
1717086195.333833437, 0, 0.126206, -0.0352533, 0.94038, 0.996017, -0.0353917, 0.0733285, 0.0363393, 0.000343002, 0.000434941, 0
1717086195.350714086, 0, 0.126206, -0.0352533, 0.94038, 0.996017, -0.0353917, 0.0733285, 0.0363393, 0.000343002, 0.000434941, 0
1717086195.367623400, 0, 0.133865, -0.0417802, 0.938216, 0.995881, -0.0418236, 0.073049, 0.0337022, 0.00019338, 0.000245282, 0
1717086195.383808017, 0, 0.133865, -0.0417802, 0.938216, 0.995881, -0.0418236, 0.073049, 0.0337022, 0.00019338, 0.000245282, 0
1717086195.400626663, 0, 0.129257, -0.0318643, 0.939921, 0.995933, -0.0377607, 0.0722713, 0.0383178, 1.18214e-06, 1.49981e-06, 0
1717086195.417603951, 0, 0.129257, -0.0318643, 0.939921, 0.995933, -0.0377607, 0.0722713, 0.0383178, 1.18214e-06, 1.49981e-06, 0
1717086195.434328302, 0, 0.130049, -0.0283511, 0.940336, 0.995892, -0.0382616, 0.0715685, 0.0401621, 2.98103e-05, 3.78594e-05, 0
1717086195.450592957, 0, 0.130049, -0.0283511, 0.940336, 0.995892, -0.0382616, 0.0715685, 0.0401621, 2.98103e-05, 3.78594e-05, 0
1717086195.467402683, 0, 0.132578, -0.0280319, 0.939628, 0.995787, -0.0403879, 0.0716166, 0.0406035, 0.000125605, 0.000159421, 0
1717086195.484351863, 0, 0.132578, -0.0280319, 0.939628, 0.995787, -0.0403879, 0.0716166, 0.0406035, 0.000125605, 0.000159421, 0
1717086195.500802822, 0, 0.131745, -0.0428478, 0.938546, 0.995944, -0.040118, 0.0734868, 0.0329621, 0.000160287, 0.000203243, 0
1717086195.517650862, 0, 0.131745, -0.0428478, 0.938546, 0.995944, -0.040118, 0.0734868, 0.0329621, 0.000160287, 0.000203243, 0
1717086195.534325816, 0, 0.127826, -0.0436064, 0.939343, 0.996054, -0.0369195, 0.0740067, 0.0322021, 0.000359692, 0.000456009, 0
1717086195.551203080, 0, 0.127826, -0.0436064, 0.939343, 0.996054, -0.0369195, 0.0740067, 0.0322021, 0.000359692, 0.000456009, 0
1717086195.567459317, 0, 0.129436, -0.0342113, 0.939464, 0.99594, -0.0380239, 0.0726509, 0.0371449, 0.000201432, 0.000255348, 0
1717086195.584300871, 0, 0.129436, -0.0342113, 0.939464, 0.99594, -0.0380239, 0.0726509, 0.0371449, 0.000201432, 0.000255348, 0
1717086195.600783777, 0, 0.130713, -0.0319568, 0.939662, 0.995901, -0.0389511, 0.0720368, 0.0383963, 6.4504e-05, 8.18546e-05, 0
1717086195.617820991, 0, 0.130713, -0.0319568, 0.939662, 0.995901, -0.0389511, 0.0720368, 0.0383963, 6.4504e-05, 8.18546e-05, 0
1717086195.634454137, 0, 0.130887, -0.0341516, 0.939366, 0.99591, -0.0391625, 0.0723649, 0.03731, 3.37057e-06, 4.27566e-06, 0
1717086195.650828290, 0, 0.130887, -0.0341516, 0.939366, 0.99591, -0.0391625, 0.0723649, 0.03731, 3.37057e-06, 4.27566e-06, 0
1717086195.667924518, 0, 0.131524, -0.031575, 0.939445, 0.995853, -0.0396353, 0.0721616, 0.0387025, 5.50608e-05, 6.98455e-05, 0
1717086195.684477954, 0, 0.131524, -0.031575, 0.939445, 0.995853, -0.0396353, 0.0721616, 0.0387025, 5.50608e-05, 6.98455e-05, 0
